indice;nome;prezzo;immagine;;;;;;
1;Candele ritualistica;8;Basi1;;;;;;
2;Statua madreterra (Piccola e grande);15/20;Basi2;;;;;;
3;Madre terra con bambino;20;Basi15;;;;;;
4;Madre terra con lune;20;Basi16;;;;;;
5;Sottobicchiere fiore della vita;5;Basi4;;;;;;
6;Piattino selenite;10;Basi3;;;;;;
7;Circuito radionico benessere 15cm;15;Basi14;;;;;;
8;Base benessere abbondanza e prosperità 24cm;18;Basi17;;;;;;
9;Base abbondanza 24cm;18;Basi7;;;;;;
10;Base salute 24cm;18;Basi8;;;;;;
11;Base amore 24cm;18;Basi12;;;;;;
12;Base realizzazione dei desideri 24cm;18;Basi13;;;;;;
13;Base protezione 24cm;18;Basi11;;;;;;
14;Base cubo di Metatron 24cm;18;Basi10;;;;;;
15;Base riequilibrio dei chakra 24cm;18;Basi6;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
